Component ,Qty,Price per item,Total Cost,Link
Johnson Motors 12V 1000rpm,4,280,1120,https://ifuturetech.org/product/12v-1000-rpm-johnson-geared-dc-motor-grade-b/
electocraze 20D ESC,1,3200,3200,https://www.technobotix.in/products/electrocraze-20d-bd-dual-channel-20amp-brushed-motor-controller/1781252000002857099
Wheels,4,150,600,
Flysky FSi6X + receiver 6ch,1,4900,4900,https://www.flyrobo.in/flysky-fs-i6x-2.4ghz-6ch-afhds-2a-rc-transmitter-with-fs-ia10b-2.4ghz-10ch-receiver?tracking=ads
LiPo battery 3s 2200mah,1,1500,1500,https://robu.in/product/orange-2200mah-3s-30c60c-lithium-polymer-battery-pack-lipo/
Chassis 3D printed,1,300,300,
Solder,1,80,80,https://www.amazon.in/7Q7-Electronic-Soldering-50Grams-Solder-Wire/dp/B07ZLR38MB
Tape,1,15,15,https://blinkit.com/prn/steelgrip-pvc-electrical-insulation-tape/prid/425578
,,,,
,,Total,11715inr,
